TID	Name	RA(longitude)	Dec(latitude)
453	'V* V2084 Ori                      '	83.7367409848548	-4.7679984398053
454	'2MASS J05350039-0509441           '	83.7516559815139	-5.1622586753293
455	'2MASS J05351080-0444106           '	83.7950468756447	-4.7363267407082
456	'V* V2303 Ori                      '	83.8218411245700	-4.6634180818660
457	'V* V2322 Ori                      '	83.8254092391628	-4.5220523984421
458	'V* V2390 Ori                      '	83.8438969885054	-4.8769642561614
459	'2MASS J05352275-0443258           '	83.8448316791491	-4.7238846534449
460	'V* V2394 Ori                      '	83.8449942270923	-4.8083080924291
461	'V* V2406 Ori                      '	83.8469982474830	-4.8179508401851
462	'2MASS J05352466-0449429           '	83.8528048024096	-4.8286163846914
463	'ESO-HA 1288                       '	83.8857635717539	-4.8352572460399
464	'V* V1724 Ori                      '	83.7864246927443	-5.0779803933863
465	'V* V1452 Ori                      '	83.7038179103540	-4.9539792327141
466	'V* V1611 Ori                      '	84.1121577375090	-4.9183892334422
467	'V* V1949 Ori                      '	83.5870090521960	-5.1139078509276
468	'V* V1428 Ori                      '	83.5893835878898	-4.9299387547548
469	'V* V2646 Ori                      '	84.0385713389680	-5.5193584343666
470	'V* V1956 Ori                      '	83.6090216353646	-5.4417695847277
471	'V* V2544 Ori                      '	83.8967599072074	-4.7943670239225
472	'V* V2020 Ori                      '	83.6877799918156	-5.1056214615413
473	'V* V2007 Ori                      '	83.6726272436728	-4.6538452508448
474	'ESO-HA 1152                       '	83.8135915129328	-5.0092873654968
475	'V* V1472 Ori                      '	83.7413094069882	-4.8202087786979
